iter	F1	Logloss
0	0.5479378682	0.6445044279
1	0.6021560575	0.6111519491
2	0.6325341325	0.5852431246
3	0.6569307335	0.5639078096
4	0.679810852	0.5466917852
5	0.7048244585	0.5323772968
6	0.714751047	0.5213435427
7	0.7110141767	0.5116530834
8	0.7210161663	0.5033801386
9	0.7303164654	0.4965395554
10	0.7427489587	0.4886173484
11	0.7590085091	0.4828401023
12	0.7673409342	0.4771855067
13	0.7678505772	0.4726520468
14	0.7647146254	0.4673225062
15	0.7714918759	0.46331622
16	0.7762819098	0.4595004048
17	0.7774193548	0.4568883768
18	0.7849689894	0.451430088
19	0.7901449275	0.4481318196
20	0.794603564	0.4441788511
21	0.7967432812	0.4407032007
22	0.8002588438	0.4379698541
23	0.8007183908	0.4345386082
24	0.8050422576	0.4311126279
25	0.8054421769	0.4278846441
26	0.8058231642	0.4252713107
27	0.8067898153	0.4223060512
28	0.808795275	0.4201105692
29	0.8108261703	0.4177313923
30	0.813376789	0.415530054
31	0.816254417	0.4130941784
32	0.8184446168	0.4107214497
33	0.8218176706	0.4081127711
34	0.8229100863	0.4060388932
35	0.8236281021	0.4036909395
36	0.8240721325	0.4013794579
37	0.8267057346	0.3992298932
38	0.8274178928	0.3967940527
39	0.8282757656	0.3949484061
40	0.8296327329	0.3930467537
41	0.8296937138	0.3916292781
42	0.8296833589	0.3893577771
43	0.8308592933	0.3879476324
