iter	Passed	Remaining
0	2047	100311
1	3871	92904
2	6997	109632
3	9966	114615
4	13044	117397
5	15849	116227
6	18420	113151
7	20480	107522
8	22587	102897
9	24597	98388
10	26655	94504
11	28983	91780
12	30464	86707
13	31961	82187
14	33389	77909
15	34846	74049
16	36715	71270
17	38222	67950
18	39709	64789
19	41105	61657
20	42476	58657
21	43913	55889
22	45323	53206
23	46726	50620
24	48135	48135
25	49516	45707
26	50962	43412
27	52336	41121
28	53736	38912
29	55391	36927
30	56812	34820
31	58164	32717
32	59595	30700
33	60981	28697
34	62387	26737
35	63761	24796
36	65261	22929
37	66812	21098
38	68167	19226
39	69564	17391
40	71202	15629
41	73029	13910
42	74776	12172
43	76833	10477
